CGPA,Attendance,Coding_Score,Aptitude_Score,Communication_Score,Internships,Projects,Placed
8.5,92,85,78,82,2,3,1
6.2,68,42,48,55,0,1,0
7.8,84,72,69,74,1,2,1
5.9,61,35,44,48,0,0,0
8.9,95,91,88,90,2,4,1
7.1,76,58,61,65,1,1,0
8.2,88,79,75,80,1,3,1
6.5,70,46,52,57,0,1,0
9.1,96,94,91,93,3,4,1
7.5,81,67,64,70,1,2,1
6.8,73,51,55,60,0,1,0
8.7,91,88,82,86,2,3,1
5.6,58,31,39,45,0,0,0
7.9,86,75,71,77,1,2,1
6.3,66,40,47,52,0,1,0
8.4,89,82,79,84,2,3,1
7.0,74,55,59,63,1,1,0
9.3,97,96,94,95,3,4,1
6.7,71,49,53,58,0,1,0
8.0,85,70,68,73,1,2,1
5.8,63,37,42,50,0,0,0
8.8,93,90,86,89,2,4,1
7.3,79,61,65,68,1,2,1
6.1,65,38,45,51,0,1,0
8.6,90,84,81,85,2,3,1
7.6,82,69,67,72,1,2,1
6.4,69,44,50,56,0,1,0
9.0,94,92,89,91,3,4,1
7.2,77,59,62,66,1,1,0
8.3,87,80,76,81,1,3,1
