CGPA,Attendance,Coding_Score,Aptitude_Score,Communication_Score,Internships,Projects,Placed
6.8,66,44,63,52,2,4,0
9.56,70,50,45,61,0,4,1
8.51,78,64,89,89,3,1,1
7.87,73,95,95,88,3,0,1
5.75,62,31,95,55,3,0,0
5.75,85,64,42,78,3,0,1
5.28,75,49,85,39,0,4,1
9.16,71,39,60,75,3,3,1
7.89,77,54,63,93,1,1,1
8.4,91,95,68,88,0,2,1
5.1,70,54,96,56,1,3,0
9.66,60,83,37,99,3,2,1
9.0,62,62,84,98,2,3,1
6.02,79,65,56,38,1,0,0
5.87,72,43,82,99,3,4,1
5.88,79,94,68,49,1,2,1
6.46,66,83,94,56,3,3,1
7.52,69,81,46,81,3,4,1
7.07,80,32,59,80,3,2,1
6.4,95,70,82,48,2,1,0
7.94,99,35,42,84,1,3,1
5.67,80,54,50,54,0,1,0
6.4,86,42,48,84,0,0,0
6.76,64,37,82,67,0,1,0
7.19,70,50,48,93,0,1,0
8.77,61,97,86,77,3,3,1
5.96,71,54,54,46,1,0,0
7.47,77,97,60,74,1,1,1
7.84,80,74,84,54,2,4,1
5.22,75,89,52,72,1,2,0
7.92,76,41,61,37,1,1,1
5.82,61,61,91,62,1,0,0
5.31,68,42,39,90,2,1,0
9.55,69,60,83,47,0,2,1
9.64,61,49,81,100,1,0,1
8.88,63,47,49,71,2,3,1
6.46,62,89,61,83,2,0,1
5.47,77,92,43,100,3,3,1
8.28,83,35,79,70,2,0,1
7.11,72,61,57,88,0,2,1
5.59,85,72,82,60,1,2,0
7.38,84,31,53,74,2,0,0
5.17,93,89,51,77,0,1,0
9.36,89,52,59,56,2,2,1
6.24,72,60,92,54,2,3,1
8.18,96,34,33,42,2,3,0
6.5,93,63,88,63,2,4,1
7.5,71,39,37,74,2,3,1
7.62,68,31,41,64,0,4,1
5.89,85,40,60,89,1,0,0
9.65,78,79,63,50,1,0,1
8.72,89,60,78,80,1,0,1
9.51,98,85,86,96,1,1,1
9.3,99,38,55,41,0,1,1
7.87,88,50,47,79,3,4,1
9.42,57,57,67,93,3,3,1
5.42,91,91,79,90,0,3,1
5.94,97,36,37,82,0,0,0
5.22,94,45,70,61,2,2,0
6.56,80,33,35,87,2,1,0
6.87,77,33,98,69,2,1,1
6.3,98,69,73,85,1,0,1
8.98,93,46,93,71,2,1,1
6.71,69,81,58,91,3,0,1
6.35,58,81,57,42,1,4,1
7.6,83,65,40,54,2,3,1
5.68,76,67,94,87,1,2,0
8.85,79,79,48,46,3,3,1
5.36,67,92,38,83,2,3,1
9.74,72,92,56,51,3,4,1
8.71,87,91,63,98,3,1,1
5.95,70,36,73,76,3,2,1
5.03,99,56,97,63,2,1,1
